tc,q,pl,pf,pk,lntc,lnq,lnpf,lnpk,lnpl
0.082,2,2.1,17.9,183,-2.501036,0.6931472,2.884801,5.209486,0.7419373
0.661,3,2.1,35.1,174,-0.4140014,1.098612,3.558201,5.159055,0.7419373
0.99,4,2.1,35.1,171,-0.0100503,1.386294,3.558201,5.141664,0.7419373
0.315,4,1.8,32.2,166,-1.155183,1.386294,3.471967,5.111988,0.5877866
0.197,5,2.1,28.6,233,-1.624552,1.609438,3.353407,5.451038,0.7419373
0.098,9,2.1,28.6,195,-2.322788,2.197225,3.353407,5.273,0.7419373
0.949,11,2,35.5,206,-0.0523465,2.397895,3.569533,5.327876,0.6931472
0.675,13,2.1,35.1,150,-0.3930426,2.564949,3.558201,5.010635,0.7419373
0.525,13,2.2,29.1,155,-0.6443571,2.564949,3.370738,5.043425,0.7884574
0.501,22,1.7,15,188,-0.6911492,3.091043,2.70805,5.236442,0.5306283
1.194,25,2.1,17.9,170,0.177309,3.218876,2.884801,5.135798,0.7419373
0.67,25,1.7,39.7,167,-0.4004775,3.218876,3.681351,5.117994,0.5306283
0.349,35,1.8,22.6,213,-1.052683,3.555348,3.11795,5.361292,0.5877866
0.423,39,2.3,23.6,164,-0.8603831,3.663562,3.161247,5.099866,0.8329091
0.501,43,1.8,42.8,170,-0.6911492,3.7612,3.756538,5.135798,0.5877866
0.55,63,1.8,10.3,161,-0.597837,4.143135,2.332144,5.081404,0.5877866
0.795,68,2,35.5,210,-0.2294131,4.219508,3.569533,5.347107,0.6931472
0.664,81,2.3,28.5,158,-0.4094732,4.394449,3.349904,5.062595,0.8329091
0.705,84,2.2,29.1,156,-0.3495575,4.430817,3.370738,5.049856,0.7884574
0.903,73,1.8,42.8,176,-0.1020327,4.29046,3.756538,5.170484,0.5877866
1.504,99,2.2,36.2,170,0.4081282,4.59512,3.589059,5.135798,0.7884574
1.615,101,1.7,33.4,192,0.479335,4.61512,3.508556,5.257495,0.5306283
1.127,119,1.9,22.5,164,0.1195592,4.779123,3.113515,5.099866,0.6418539
0.718,120,1.8,21.3,175,-0.3312857,4.787492,3.058707,5.164786,0.5877866
2.414,122,2.1,17.9,180,0.8812851,4.804021,2.884801,5.192957,0.7419373
1.13,130,1.8,38.9,176,0.1222176,4.867535,3.660994,5.170484,0.5877866
0.992,138,1.8,20.2,202,-0.0080322,4.927254,3.005683,5.308268,0.5877866
1.554,149,1.9,22.5,227,0.4408323,5.003946,3.113515,5.42495,0.6418539
1.225,196,1.9,29.1,186,0.2029409,5.278115,3.370738,5.225747,0.6418539
1.565,197,2.2,29.1,183,0.4478859,5.283204,3.370738,5.209486,0.7884574
1.936,209,1.9,22.5,169,0.660624,5.342334,3.113515,5.129899,0.6418539
3.154,214,1.5,27.5,168,1.148672,5.365976,3.314186,5.123964,0.4054651
2.599,220,1.9,22.5,164,0.9551268,5.393628,3.113515,5.099866,0.6418539
3.298,234,2.2,36.2,164,1.193316,5.455321,3.589059,5.099866,0.7884574
2.441,235,2.1,24.4,170,0.8924078,5.459586,3.194583,5.135798,0.7419373
2.031,253,1.9,22.5,158,0.7085282,5.53339,3.113515,5.062595,0.6418539
4.666,279,2.1,35.1,177,1.540302,5.631212,3.558201,5.17615,0.7419373
1.834,290,1.7,33.4,195,0.6064994,5.669881,3.508556,5.273,0.5306283
2.072,290,1.8,20.2,176,0.7285143,5.669881,3.005683,5.170484,0.5877866
2.039,295,1.8,21.3,188,0.7124595,5.686975,3.058707,5.236442,0.5877866
3.398,299,1.7,26.9,187,1.223187,5.700444,3.292126,5.231109,0.5306283
3.083,324,2.1,35.1,152,1.125903,5.780744,3.558201,5.02388,0.7419373
2.344,333,2.2,29.1,157,0.8518589,5.808143,3.370738,5.056246,0.7884574
2.382,338,1.9,24.6,163,0.8679405,5.823046,3.202746,5.09375,0.6418539
2.657,353,2.2,29.1,143,0.9771977,5.866468,3.370738,4.962845,0.7884574
1.705,353,2.1,10.7,167,0.5335652,5.866468,2.370244,5.117994,0.7419373
3.23,416,1.5,26.2,217,1.172482,6.030685,3.265759,5.379897,0.4054651
5.049,420,1.5,27.5,144,1.61919,6.040255,3.314186,4.969813,0.4054651
3.814,456,2.1,30,178,1.338678,6.122493,3.401197,5.181784,0.7419373
4.58,484,1.8,42.8,176,1.521699,6.182085,3.756538,5.170484,0.5877866
4.358,516,2.3,23.6,167,1.472013,6.246107,3.161247,5.117994,0.8329091
4.714,550,2.1,35.1,158,1.550537,6.309918,3.558201,5.062595,0.7419373
4.357,563,2.3,31.9,162,1.471784,6.33328,3.462606,5.087596,0.8329091
3.919,566,2.3,33.5,198,1.365837,6.338594,3.511545,5.288267,0.8329091
3.442,592,1.9,22.5,164,1.236053,6.383507,3.113515,5.099866,0.6418539
4.898,671,2.1,35.1,164,1.588827,6.508769,3.558201,5.099866,0.7419373
3.584,696,1.8,10.3,161,1.276479,6.54535,2.332144,5.081404,0.5877866
5.535,719,1.7,26.9,174,1.711092,6.577861,3.292126,5.159055,0.5306283
4.406,742,2,20.7,157,1.482967,6.609349,3.030134,5.056246,0.6931472
4.289,795,2.2,26.5,185,1.456054,6.678342,3.277145,5.220356,0.7884574
6.731,800,1.7,26.9,157,1.906724,6.684612,3.292126,5.056246,0.5306283
6.895,808,1.7,39.7,203,1.930797,6.694562,3.681351,5.313206,0.5306283
5.112,811,2.3,28.5,178,1.631591,6.698268,3.349904,5.181784,0.8329091
5.141,855,2,34.3,183,1.637248,6.751101,3.535145,5.209486,0.6931472
5.72,860,2.3,33.5,168,1.743969,6.756932,3.511545,5.123964,0.8329091
4.691,909,1.5,17.6,196,1.545646,6.812345,2.867899,5.278115,0.4054651
6.832,913,1.7,26.9,166,1.921617,6.816736,3.292126,5.111988,0.5306283
4.813,924,1.8,10.3,172,1.571321,6.828712,2.332144,5.147494,0.5877866
6.754,984,1.7,26.9,158,1.910135,6.891626,3.292126,5.062595,0.5306283
5.127,991,2.1,30,174,1.634521,6.898715,3.401197,5.159055,0.7419373
6.388,1000,1.6,28.2,225,1.854421,6.907755,3.339322,5.416101,0.4700036
4.509,1098,2.1,24.4,168,1.506075,7.001245,3.194583,5.123964,0.7419373
7.185,1109,2.1,35.1,177,1.971995,7.011214,3.558201,5.17615,0.7419373
6.8,1118,2.3,23.6,161,1.916923,7.019297,3.161247,5.081404,0.8329091
7.743,1122,2.2,29.1,162,2.046789,7.022868,3.370738,5.087596,0.7884574
7.968,1137,2,20.7,158,2.075433,7.036149,3.030134,5.062595,0.6931472
8.858,1156,2.3,33.5,176,2.181321,7.052721,3.511545,5.170484,0.8329091
8.588,1166,1.7,26.9,183,2.150366,7.061334,3.292126,5.209486,0.5306283
6.449,1170,2.1,35.1,166,1.863925,7.064759,3.558201,5.111988,0.7419373
8.488,1215,2.2,29.1,164,2.138653,7.102499,3.370738,5.099866,0.7884574
8.877,1279,2,34.3,207,2.183464,7.153834,3.535145,5.332719,0.6931472
10.274,1291,2.3,31.9,175,2.329617,7.163172,3.462606,5.164786,0.8329091
6.024,1290,1.6,28.2,225,1.795752,7.162397,3.339322,5.416101,0.4700036
8.258,1331,2.1,30,178,2.111182,7.193686,3.401197,5.181784,0.7419373
13.376,1373,2.2,36.2,157,2.593462,7.224753,3.589059,5.056246,0.7884574
10.69,1420,2.2,36.2,138,2.369309,7.258412,3.589059,4.927254,0.7884574
8.308,1474,1.9,24.6,163,2.117219,7.295735,3.202746,5.09375,0.6418539
6.082,1497,1.8,10.3,168,1.805333,7.311218,2.332144,5.123964,0.5877866
9.284,1545,1.8,20.2,158,2.228292,7.342779,3.005683,5.062595,0.5877866
10.879,1649,2.3,31.9,177,2.386834,7.407924,3.462606,5.17615,0.8329091
